s1max,s1mean,s1min,s2max,s2mean,s2min,s3max,s3mean,s3min,s4max,s4mean,s4min,s5max,s5mean,s5min,s6max,s6mean,s6min,target
45.8,42.41991667,36,2.12,0.4605625,0,24,16.32054167,6.33,5.59,0.749895833,0,22,10.06775,2,6.65,1.226270833,0,0
48.25,42.51695833,37,2.12,0.4406875,0,21.75,13.21872917,1,5.61,0.7999375,0,21,14.63975,1,6.85,0.977416667,0,0
45.5,42.95935417,36.25,2.6,0.352875,0,22,11.7804375,0,4.72,0.5641875,0,20.25,14.94602083,0,4,0.748479167,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.33,42.67458333,36,2.17,0.419166667,0,21,12.11070833,0,5.56,0.5675,0,19.67,14.24745833,0,3.77,0.702041667,0,0
45.75,43.18752083,36.25,2.83,0.271270833,0,22.75,12.72810417,0,3.74,0.642708333,0,24,18.2014375,2,3.83,0.645458333,0,0
47.33,44.4411875,36,4.5,0.346604167,0,21,13.35627083,3,5.54,0.645583333,0,21,12.61154167,1,5.91,1.155083333,0,0
46,35.19333333,18,16.2,4.321020833,0,24.5,15.46222917,5.67,8.76,3.072854167,0,23.5,16.10120833,6.25,8.5,3.241958333,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46.25,34.76333333,20.75,12.68,4.223791667,0,23.75,15.23902083,5,9.2,3.2070625,0,25.5,16.2995625,6,9.39,3.288270833,0,0
51,34.9358125,21.5,12.21,4.11575,0,23.33,15.52452083,6.5,9.09,3.092791667,0,25,15.99722917,6.33,10.21,3.280020833,0,0
47.67,34.33304167,18.33,12.48,4.396958333,0,23.33,15.56289583,7.67,9.01,3.1983125,0,24,15.8644375,6.67,8.01,3.261583333,0,0
45.5,30.93810417,19,6.4,0.467166667,0,32.75,14.58983333,0,11.42,0.777541667,0,36,18.38908333,1.67,6.73,1.107354167,0,1
45.75,34.599875,18.33,15.37,4.398833333,0,24,15.17366667,5.5,9.18,3.1455,0,23.25,16.0555625,6.5,8.86,3.289541667,0,0
45.5,30.93810417,19,6.4,0.467166667,0,32.75,14.58983333,0,11.42,0.777541667,0,36,18.38908333,1.67,6.73,1.107354167,0,1
43.67,34.225875,15.5,17.24,4.3545,0,23,15.60647917,7.67,9.2,3.365375,0,24,16.148,5.75,9.42,3.479541667,0,0
51.25,34.25352083,21.5,13.55,4.457895833,0,24,15.24629167,6.5,9.5,3.279145833,0,24.25,15.71608333,7,8.32,3.50075,0,0
45.33,33.586875,19.5,14.67,4.5765625,0,23.25,15.31785417,7.33,9,3.227229167,0,25,15.89214583,6.33,8.32,3.259729167,0,0
45.5,30.93810417,19,6.4,0.467166667,0,32.75,14.58983333,0,11.42,0.777541667,0,36,18.38908333,1.67,6.73,1.107354167,0,1
45.5,34.32275,19.75,13.47,4.456333333,0,22.25,15.20977083,6.25,9,3.277229167,0,23.25,15.55045833,6.25,9.67,3.4325625,0,0
46,34.54622917,19.5,12.47,4.371958333,0,22.67,15.18572917,7,8.34,3.0286875,0,22.75,15.75954167,7,10,3.338125,0,0
45.5,30.93810417,19,6.4,0.467166667,0,32.75,14.58983333,0,11.42,0.777541667,0,36,18.38908333,1.67,6.73,1.107354167,0,1
46.25,34.87322917,23.5,14.82,4.380583333,0,24.25,15.4711875,6.67,9.9,3.2056875,0,23.5,15.87389583,5.5,9.51,3.424645833,0,0
44,34.4731875,19.25,13.86,4.3593125,0,22.75,15.42470833,6,9.1,3.188270833,0,23.25,15.70416667,4.67,9,3.340458333,0.43,0
