s1mean,s2max,s2mean,s3max,s4mean,s5max,s5mean,s5min,s6max,s6mean,target
46.93220833,4.6,0.429666667,21,0.5354375,21.25,13.281875,2.67,6.58,0.991125,0
45.399625,1.66,0.460145833,21.25,0.4413125,19.75,12.42854167,1,4.5,0.795104167,0
32.58620833,9.9,0.516125,28.25,0.868895833,33.75,20.34570833,5,13.61,1.162041667,1
42.41991667,2.12,0.4605625,24,0.749895833,22,10.06775,2,6.65,1.226270833,0
42.51695833,2.12,0.4406875,21.75,0.7999375,21,14.63975,1,6.85,0.977416667,0
42.95935417,2.6,0.352875,22,0.5641875,20.25,14.94602083,0,4,0.748479167,0
0,0,0,0,0,0,0,0,0,0,1
42.67458333,2.17,0.419166667,21,0.5675,19.67,14.24745833,0,3.77,0.702041667,0
43.18752083,2.83,0.271270833,22.75,0.642708333,24,18.2014375,2,3.83,0.645458333,0
44.4411875,4.5,0.346604167,21,0.645583333,21,12.61154167,1,5.91,1.155083333,0
35.19333333,16.2,4.321020833,24.5,3.072854167,23.5,16.10120833,6.25,8.5,3.241958333,0
0,0,0,0,0,0,0,0,0,0,1
34.76333333,12.68,4.223791667,23.75,3.2070625,25.5,16.2995625,6,9.39,3.288270833,0
34.9358125,12.21,4.11575,23.33,3.092791667,25,15.99722917,6.33,10.21,3.280020833,0
34.33304167,12.48,4.396958333,23.33,3.1983125,24,15.8644375,6.67,8.01,3.261583333,0
30.93810417,6.4,0.467166667,32.75,0.777541667,36,18.38908333,1.67,6.73,1.107354167,1
34.599875,15.37,4.398833333,24,3.1455,23.25,16.0555625,6.5,8.86,3.289541667,0
34.225875,17.24,4.3545,23,3.365375,24,16.148,5.75,9.42,3.479541667,0
34.25352083,13.55,4.457895833,24,3.279145833,24.25,15.71608333,7,8.32,3.50075,0
33.586875,14.67,4.5765625,23.25,3.227229167,25,15.89214583,6.33,8.32,3.259729167,0
30.93810417,6.4,0.467166667,32.75,0.777541667,36,18.38908333,1.67,6.73,1.107354167,1
34.32275,13.47,4.456333333,22.25,3.277229167,23.25,15.55045833,6.25,9.67,3.4325625,0
34.54622917,12.47,4.371958333,22.67,3.0286875,22.75,15.75954167,7,10,3.338125,0
34.87322917,14.82,4.380583333,24.25,3.2056875,23.5,15.87389583,5.5,9.51,3.424645833,0
34.4731875,13.86,4.3593125,22.75,3.188270833,23.25,15.70416667,4.67,9,3.340458333,0
